,PeakTime
160,118.53601763623527
161,96.26602239132566
162,0.0
163,98.59020827346117
164,0.0
165,106.65592976564271
166,0.0
167,0.0
168,0.0
169,102.22086739379772
170,120.21864147610806
171,103.4110684258469
172,106.09522572044098
173,0.0
174,104.204224514184
175,0.0
176,100.7334486801065
177,105.25371678378568
178,111.95067581106396
179,0.0
180,110.48367131667499
181,0.0
182,0.0
183,99.50087978340194
184,111.59424096429622
185,0.0
186,96.69088765002509
187,93.53293352691908
188,108.89226837752322
189,110.67887429624611
190,102.47180478143483
191,113.80919053491132
192,0.0
193,0.0
194,0.0
195,0.0
196,99.27819673891776
197,112.0073188023095
198,0.0
199,107.38969137045335
200,114.33276693781403
201,101.82932793143371
202,102.75258641040715
203,113.12844673091725
204,102.99383760708683
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,91.46619971124765
212,0.0
213,0.0
214,96.30875648315438
215,0.0
216,0.0
217,0.0
218,96.57804859899821
219,93.13827917576513
220,0.0
221,0.0
222,113.67247867487632
223,0.0
224,0.0
225,96.04818964406027
226,107.32824867591376
227,112.10303701316624
228,106.75022748615955
229,0.0
230,112.3632614498287
231,0.0
232,0.0
233,0.0
234,105.44252087030566
235,0.0
236,0.0
237,111.39861526777568
238,97.04287641897307
239,100.54913129700184
240,112.7144956702339
241,114.73510977335218
242,103.6524440295758
243,101.5682870497653
244,0.0
245,100.62690687146447
246,0.0
247,0.0
248,98.8920452554367
249,0.0
250,107.0206118504663
251,126.55724289583246
252,0.0
253,106.92911126900229
254,103.07605061447973
255,0.0
256,116.35023506764226
257,108.23410686018147
258,0.0
259,0.0
260,97.95052045963799
261,0.0
262,102.93804428878644
263,88.70538865833235
264,105.71291156358421
265,96.35830375121044
266,0.0
267,119.24829680773023
268,0.0
269,0.0
270,0.0
271,115.4827693457335
272,108.18762609000156
273,110.03139642360038
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,107.09639843915944
280,0.0
281,94.01647090644298
282,118.50897867787346
283,0.0
284,0.0
285,95.59562191993157
286,0.0
287,0.0
288,0.0
289,0.0
290,115.62813432283475
291,0.0
292,0.0
293,100.2886066497244
294,0.0
295,0.0
296,0.0
297,110.16432818002646
298,101.82921561534387
299,117.42689230128057
300,101.76161663824406
301,0.0
302,102.7201022506192
303,0.0
304,0.0
305,0.0
306,121.37028350623022
307,100.9525259135758
308,99.2264362891805
309,112.13517251363973
310,0.0
311,105.2929011538372
312,0.0
313,106.05406027263048
314,109.30404302243923
315,0.0
316,0.0
317,0.0
318,0.0
319,97.32137187822558
320,0.0
321,102.97133528490521
322,102.1822675440451
323,0.0
324,101.57013297229027
325,0.0
326,0.0
327,97.98906926237701
328,118.39937798021133
329,0.0
330,107.6796704181088
331,0.0
332,0.0
333,107.04172962419614
334,102.70984684184268
335,112.85529870260811
336,0.0
337,93.86118537724124
338,0.0
339,109.4995842404401
340,103.89729923190949
341,99.82838876113001
342,115.56563856690386
343,0.0
344,117.9765312649495
345,111.65088246395909
346,0.0
347,0.0
348,0.0
349,102.04558317327468
350,93.93210606007207
351,107.9252615879197
352,0.0
353,98.37246633409981
354,94.54128839618066
355,104.28787800909485
356,106.12802223701642
357,104.38118480789564
358,116.38144235084113
359,113.07221595889162
360,0.0
361,114.61542908127893
362,0.0
363,104.37520729834314
364,97.19587534668779
365,0.0
366,103.78216621460426
367,0.0
368,113.92984695360485
369,0.0
370,103.00324306900293
371,105.34487680792198
372,95.9082697255688
373,0.0
374,108.26988099657693
375,106.4676344850237
376,0.0
377,0.0
378,105.03100891881658
379,93.18078551491777
380,0.0
381,0.0
382,106.51976061335067
383,101.83187685007428
384,0.0
385,0.0
386,0.0
387,97.77968651476027
388,116.39760881337227
389,0.0
390,0.0
391,101.28425677670741
392,0.0
393,0.0
394,96.0546780029735
395,0.0
396,143.88435484120765
397,95.82751879940142
398,0.0
399,0.0
400,116.71160875424899
401,107.9455259135642
402,111.51177043221851
403,0.0
404,0.0
405,0.0
406,0.0
407,103.37569823523684
408,124.82882935614825
409,115.12044342483487
410,96.72362918911611
411,115.55394528360715
412,0.0
413,96.79581447787645
414,101.05282612905577
415,109.41627542738041
416,112.92274293178264
417,104.58988527197619
418,111.02484128777499
419,0.0
420,0.0
421,0.0
422,113.45806410355235
423,0.0
424,0.0
425,109.46629630645744
426,107.6843500978269
427,0.0
428,0.0
429,117.55051379414328
430,0.0
431,101.9047022816999
432,0.0
433,115.57827635262944
434,0.0
435,98.38353453398835
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,148.2644739597621
442,91.83175813589985
443,100.21938116096418
444,0.0
445,0.0
446,97.54604175481717
447,93.24396263807836
448,0.0
449,0.0
450,99.03339908835929
451,0.0
452,108.78489813460561
453,102.73689096525882
454,101.71649844499979
455,103.39837481224609
456,0.0
457,104.70204639324135
458,106.84506124926266
459,0.0
460,104.20985804195551
461,101.72035226780775
462,0.0
463,0.0
464,111.21021190780974
465,113.52878369685978
466,107.09930322710662
467,0.0
468,95.2056643887223
469,109.13517976811544
470,106.25111060963148
471,101.12919124204292
472,0.0
473,0.0
474,0.0
475,106.49796119954998
476,0.0
477,105.9913047817782
478,0.0
479,0.0
480,0.0
481,0.0
482,107.84579004133764
483,0.0
484,118.19011321975475
485,106.81007147705812
486,0.0
487,0.0
488,104.66048417002273
489,0.0
490,0.0
491,102.59664829799134
492,0.0
493,96.80325952864409
494,0.0
495,0.0
496,98.42891275809075
497,0.0
498,0.0
499,104.92579834435547
500,98.3397366335565
501,105.73480217426844
502,0.0
503,0.0
504,102.51661334181435
505,0.0
506,104.64136293431523
507,0.0
508,112.04734250413995
509,0.0
510,112.26581974378391
511,0.0
512,0.0
513,102.994811486176
514,0.0
515,0.0
516,107.5559783779064
517,107.00828645065697
518,110.21595609919795
519,0.0
520,106.08164473438165
521,110.57054991615689
522,101.81702120542751
523,0.0
524,113.63393279339694
525,0.0
526,0.0
527,0.0
528,0.0
529,111.68949614933517
530,0.0
531,97.03932299971675
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,91.01452274836515
539,94.80198134811667
540,101.26652678598181
541,0.0
542,101.69187969790514
543,0.0
544,0.0
545,0.0
546,102.78564333930056
547,0.0
548,0.0
549,0.0
550,0.0
551,106.97812690748172
552,112.89380051461393
553,0.0
554,0.0
555,0.0
556,106.34971923236894
557,108.57217219392118
558,99.8766382951347
559,0.0
560,103.51815945170043
561,103.45005226357772
562,105.12443532611783
563,0.0
564,0.0
565,110.39399059593019
566,120.68752041337191
567,0.0
568,104.82104727125703
569,95.75117221341705
570,99.69783541216538
571,0.0
572,93.8654734053329
573,0.0
574,105.45879549563573
575,0.0
576,122.0937201431004
577,102.83312113002845
578,142.2587063820779
579,0.0
580,113.47016317071193
581,0.0
582,106.86784945825418
583,0.0
584,0.0
585,0.0
586,99.17369713209735
587,0.0
588,99.07838300641278
589,114.87248566720145
590,104.68436440038103
591,101.0356475699439
592,0.0
593,0.0
594,101.61437731925221
595,0.0
596,0.0
597,0.0
598,0.0
599,114.74615132227953
600,0.0
601,115.21483627742619
602,0.0
603,0.0
604,115.99935394315001
605,105.17786158036016
606,106.80442442050226
607,98.69566878981364
608,104.49681660140885
609,112.3005993535951
610,96.1429257633929
611,99.9281579905022
612,0.0
613,0.0
614,0.0
615,101.74995222019118
616,0.0
617,103.86157833491706
618,103.17694171287332
619,0.0
620,0.0
621,0.0
622,0.0
623,101.05087558234494
624,100.38414230367697
625,115.94594801891066
626,0.0
627,100.09404058902103
628,0.0
629,0.0
630,104.64861588123905
631,0.0
632,96.05497680584425
633,109.42339917139738
634,103.47378387798564
635,0.0
636,0.0
637,105.17642381016968
638,0.0
639,0.0
640,88.65933481207436
641,102.81125441762089
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,132.0741751997756
648,0.0
649,121.51875653767964
650,0.0
651,106.3812673794083
652,0.0
653,0.0
654,128.995889394208
655,0.0
656,111.03119307391432
657,115.97462011969255
658,0.0
659,113.66079544890543
660,0.0
661,101.39098412504566
662,0.0
663,108.64529519795838
664,0.0
665,113.3274182313043
666,0.0
667,109.5831929709412
668,0.0
669,111.64253134135494
670,112.73890695370363
671,0.0
672,100.38500757559025
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,108.50171225532102
679,0.0
680,0.0
681,107.46363230875872
682,0.0
683,97.54910252445883
684,95.95595435321644
685,97.05173737341259
686,115.25669725370616
687,0.0
688,0.0
689,0.0
690,0.0
691,97.47939584215305
692,109.96649111250571
693,112.0014613973106
694,0.0
695,0.0
696,105.30229728595329
697,109.26946097189835
698,0.0
699,0.0
700,100.47873695544908
701,99.5917959163094
702,0.0
703,0.0
704,102.53206310803267
705,0.0
706,0.0
707,0.0
708,102.95502857960936
709,108.12010618055966
710,0.0
711,103.63765551802368
712,101.16004696046335
713,0.0
714,96.8360515093747
715,0.0
716,0.0
717,110.11558789266518
718,102.3093546263238
719,115.07059123859779
720,0.0
721,110.8686240019257
722,98.23014058783166
723,94.3762894356353
724,0.0
725,110.37704574543986
726,0.0
727,95.01508794348504
728,0.0
729,0.0
730,110.34043807224037
731,0.0
732,105.74639019574268
733,0.0
734,114.3029717185895
735,91.29737200926392
736,0.0
737,111.3062637824266
738,0.0
739,0.0
740,110.07193599369462
741,115.26133467962927
742,104.92501070937168
743,0.0
744,0.0
745,123.09329417229439
746,0.0
747,0.0
748,0.0
749,105.94295517519387
750,0.0
751,115.13813263231597
752,93.73398331041372
753,104.04440111305377
754,0.0
755,100.92747369302243
756,105.98341926446714
757,0.0
758,109.05151375563139
759,107.33878237515593
760,97.96274629680904
761,114.4130540970318
762,0.0
763,120.68618447010216
764,88.27487647352274
765,0.0
766,0.0
767,110.20967526954809
768,0.0
769,0.0
770,0.0
771,108.94486343290676
772,0.0
773,101.7734980358867
774,0.0
775,0.0
776,101.44533003387185
777,120.76785244831981
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,98.22349531403881
784,0.0
785,0.0
786,0.0
787,105.33965441096561
788,0.0
789,0.0
790,0.0
791,126.81938664408825
792,147.8591956634573
793,0.0
794,105.46116981721097
795,0.0
796,0.0
797,0.0
798,104.30881359635961
799,0.0
800,0.0
801,0.0
802,0.0
803,95.35033297373961
804,0.0
805,0.0
806,0.0
807,99.19062395998162
808,0.0
809,0.0
810,0.0
811,0.0
812,127.8272779637989
813,100.42892827057678
814,0.0
815,108.35146313864327
816,0.0
817,91.63571204899804
818,99.55415045876684
819,0.0
820,0.0
821,106.11439770337932
822,96.84382211582617
823,0.0
824,0.0
825,0.0
826,0.0
827,108.91042110271181
828,109.79008755128402
829,0.0
830,0.0
831,96.7160943768338
832,100.26868299433224
833,134.94525393401534
834,0.0
835,0.0
836,99.46413137047671
837,104.79670529448978
838,107.29977907972564
839,0.0
840,106.80033740529738
841,0.0
842,0.0
843,100.86850963923935
844,0.0
845,134.85725393448976
846,133.29426374984163
847,0.0
848,95.39252051947625
849,102.64733548829777
850,115.54723826500387
851,0.0
852,112.42824968742885
853,0.0
854,0.0
855,0.0
856,107.50784206250574
857,110.8567320619475
858,0.0
859,0.0
860,103.47179177861365
861,0.0
862,99.99764731401308
863,0.0
864,0.0
865,111.14293404010503
866,108.26348419338687
867,108.54988716042025
868,99.71485404595278
869,112.1396098457702
870,0.0
871,97.7044089920099
872,0.0
873,100.15010049327822
874,108.94090053770515
875,107.17117407117809
876,113.65977643644527
877,122.49830514288848
878,97.27796941308752
879,0.0
880,0.0
881,0.0
882,122.08211194308056
883,103.35929058020965
884,0.0
885,95.16796357892072
886,101.52807610831377
887,0.0
888,0.0
889,100.09237592619827
890,103.22612926604619
891,0.0
892,0.0
893,105.70843020977657
894,0.0
895,0.0
896,0.0
897,97.4582065335229
898,121.37302070086623
899,0.0
900,0.0
901,0.0
902,95.00995043755081
903,0.0
904,114.43838454530925
905,100.9027486920952
906,0.0
907,102.73627839966707
908,0.0
909,117.67180389189053
910,0.0
911,0.0
912,101.28235737396707
913,0.0
914,0.0
915,0.0
916,105.94539104097429
917,0.0
918,110.7231751279314
919,0.0
920,103.12417553853011
921,114.82815364461486
922,0.0
923,98.27895614273153
924,100.31754852504865
925,0.0
926,93.34312917529476
927,0.0
928,0.0
929,0.0
930,109.13841322957961
931,0.0
932,108.31979150227039
933,0.0
934,0.0
935,0.0
936,121.49434628604277
937,94.27212697366872
938,99.84850121585289
939,0.0
940,98.3995951227254
941,97.56116348735755
942,0.0
943,115.64179215205594
944,101.82434576642957
945,0.0
946,102.88509535030725
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,104.08989512005078
957,0.0
958,121.48296291057402
959,106.81356720932172
960,0.0
961,104.09617393032437
962,0.0
963,0.0
964,113.6090156911442
965,107.3105093998429
966,94.53219967592466
967,0.0
968,0.0
969,105.13951069458071
970,99.33486245820089
971,101.60643305840907
972,97.7994918197704
973,0.0
974,123.45040831978842
975,98.87478769222862
976,0.0
977,111.42234204224212
978,106.43985549383454
979,0.0
980,93.64803938467072
981,0.0
982,0.0
983,113.19721058038999
984,0.0
985,0.0
986,113.78678642054524
987,118.5886744665214
988,104.73792484350626
989,94.83298300428342
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,109.75828960816183
996,101.09588605576477
997,99.15014048045849
998,111.56023117736142
999,0.0
